	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50
A1	0	0.15630363	0.169828983	0.179777978	0.193027303	0.161068107	0.214545455	0.425670567	0.483960396	0.491761176	0.572781278	0.518031803	0.540534053	0.49419742	0.880660066	0.899093909	0.90520252	0.945970597	0.920228023	0.940894089	0.940522052	0.931377138	0.980690069	0.998835884	0.914587459	0.912739274	0.944326433	0.972853285	0.97680168	0.953327333	0.97080108	0.967920792	0.867266727	0.926072607	0.968928893	0.95979598	0.957215722	0.92309631	0.913663366	0.926660666	0.573369337	0.594731473	0.544974497	0.59759976	0.545622562	0.584314431	0.563048305	0.556927693	0.515139514	0.528040804
A2	0.15630363	0	0.162676268	0.188454845	0.182730273	0.199687969	0.214293429	0.488316832	0.49089709	0.504362436	0.586318632	0.50760276	0.56390039	0.524980498	0.795511551	0.872859286	0.818781878	0.805664566	0.863450345	0.914467447	0.995919592	0.987278728	0.928028803	0.888676868	0.977869787	0.999567957	0.98310231	0.901950195	0.949462946	0.919963996	0.978961896	0.956879688	0.869150915	0.891221122	0.916675668	0.921788179	0.913915392	0.868874887	0.842916292	0.918427843	0.49389739	0.483708371	0.533921392	0.492253225	0.483168317	0.53920192	0.504518452	0.512319232	0.498061806	0.448388839
A3	0.169828983	0.162676268	0	0.173069307	0.167056706	0.154167417	0.215109511	0.434155416	0.470711071	0.487236724	0.540918092	0.489192919	0.517971797	0.495709571	0.859657966	0.871551155	0.862046205	0.890225023	0.87270327	0.953651365	0.98520252	0.962940294	0.95459946	0.968868887	0.952643264	0.940846085	0.935493549	0.987962796	0.994947495	0.941638164	0.969288929	0.972313231	0.872451245	0.918007801	0.91369937	0.95369937	0.918319832	0.91960396	0.872967297	0.944218422	0.556519652	0.580630063	0.576453645	0.542070207	0.5419982	0.636387639	0.54520252	0.57110111	0.582166217	0.525844584
A4	0.179777978	0.188454845	0.173069307	0	0.165424542	0.14340234	0.185682568	0.381806181	0.464746475	0.429462946	0.482640264	0.459885989	0.469666967	0.454605461	0.844656466	0.884272427	0.872511251	0.900090009	0.92540054	0.986138614	0.954179418	0.867494749	0.981578158	0.941254125	0.868346835	0.893621362	0.889792979	0.980966097	0.936825683	0.936489649	0.94949895	0.943846385	0.857113711	0.919975998	0.96390039	0.989822982	0.963240324	0.915163516	0.870423042	0.948646865	0.534485449	0.559615962	0.523972397	0.567368737	0.48450045	0.618481848	0.541086109	0.543942394	0.544182418	0.52320432
A5	0.193027303	0.182730273	0.167056706	0.165424542	0	0.141578158	0.191971197	0.526516652	0.530225023	0.501362136	0.568544854	0.52440444	0.557563756	0.567944794	0.955787579	0.958331833	0.951707171	0.956123612	0.987038704	0.998031803	0.967764776	0.892853285	0.954983498	0.971713171	0.865910591	0.930165017	0.91259526	0.97530153	0.894221422	0.888388839	0.923624362	0.8869967	0.856105611	0.885472547	0.888856886	0.915967597	0.902874287	0.873255326	0.837011701	0.921680168	0.528892889	0.570333033	0.577065707	0.575133513	0.549558956	0.611293129	0.576525653	0.555415542	0.560348035	0.499009901
A6	0.161068107	0.199687969	0.154167417	0.14340234	0.141578158	0	0.160084008	0.428466847	0.500870087	0.454005401	0.547794779	0.475991599	0.517215722	0.501482148	0.880528053	0.915031503	0.882016202	0.931725173	0.94679868	0.998535854	0.909162916	0.861686169	0.996231623	0.975277528	0.852637264	0.904542454	0.888952895	0.99549955	0.969816982	0.977569757	0.957347735	0.988946895	0.92570057	0.931557156	0.986774677	0.987170717	0.988670867	0.963228323	0.959543954	0.988694869	0.530693069	0.571785179	0.545550555	0.577713771	0.50019802	0.605580558	0.567548755	0.563768377	0.539369937	0.500390039
A7	0.214545455	0.214293429	0.215109511	0.185682568	0.191971197	0.160084008	0	0.496453645	0.553747375	0.543834383	0.628274827	0.577353735	0.58319832	0.562376238	0.93419742	0.941674167	0.917059706	0.92330033	0.973537354	0.985622562	0.963780378	0.913183318	0.965280528	0.971845185	0.922532253	0.911491149	0.884140414	0.966516652	0.992319232	0.976465647	0.996687669	0.990243024	0.914179418	0.953375338	0.951023102	0.971941194	0.994539454	0.911359136	0.92609661	0.995151515	0.502586259	0.534017402	0.499141914	0.55930393	0.500990099	0.540594059	0.5290009	0.513423342	0.513159316	0.506810681
A8	0.425670567	0.488316832	0.434155416	0.381806181	0.526516652	0.428466847	0.496453645	0	0.173813381	0.206564656	0.202052205	0.216057606	0.212217222	0.172781278	0.525688569	0.54670267	0.540582058	0.590279028	0.575877588	0.872427243	0.877647765	0.945274527	0.879687969	0.933741374	0.954083408	0.850177018	0.946894689	0.894917492	0.936669667	0.96860486	0.985886589	0.983546355	0.904314431	0.874227423	0.984914491	0.927956796	0.9419982	0.859441944	0.899237924	0.924656466	0.821146115	0.836627663	0.799771977	0.885076508	0.809444944	0.869978998	0.815577558	0.845016502	0.824326433	0.765532553
A9	0.483960396	0.49089709	0.470711071	0.464746475	0.530225023	0.500870087	0.553747375	0.173813381	0	0.190075008	0.162064206	0.183486349	0.217473747	0.214761476	0.505418542	0.525076508	0.480552055	0.521668167	0.518031803	0.817221722	0.802856286	0.825142514	0.775721572	0.795487549	0.841812181	0.745658566	0.877575758	0.811017102	0.874623462	0.902034203	0.985994599	0.899633963	0.962028203	0.913279328	0.974257426	0.965148515	0.953843384	0.903486349	0.913507351	0.983042304	0.879423942	0.918631863	0.91549955	0.934149415	0.88819682	0.931437144	0.87390339	0.933225323	0.865922592	0.831467147
A10	0.491761176	0.504362436	0.487236724	0.429462946	0.501362136	0.454005401	0.543834383	0.206564656	0.190075008	0	0.160144014	0.172889289	0.23609961	0.195775578	0.558871887	0.566408641	0.514407441	0.550027003	0.553183318	0.83939994	0.895625563	0.893909391	0.808544854	0.825178518	0.89650165	0.759087909	0.891545155	0.857221722	0.916747675	0.944638464	0.993735374	0.958427843	0.937929793	0.891977198	0.988358836	0.949978998	0.935433543	0.873723372	0.879579958	0.968520852	0.87660366	0.950219022	0.907278728	0.93620162	0.901770177	0.961680168	0.888412841	0.928928893	0.91570357	0.858037804
