	Meta1	Meta2
A1	A	Male
A2	A	Male
A3	A	Male
A4	A	Male
A5	A	Male
A6	A	Male
A7	A	Female
A8	A	Female
A9	A	Female
A10	A	Female
A11	B	Female
A12	B	Female
A13	B	Female
A14	B	Female
A15	B	Male
A16	B	Male
A17	B	Male
A18	B	Male
A19	B	Female
A20	B	Female
A21	C	Male
A22	C	Male
A23	C	Male
A24	C	Male
A25	C	Male
A26	C	Male
A27	C	Male
A28	C	Male
A29	C	Male
A30	C	Female
A31	C	Female
A32	C	Female
A33	C	Female
A34	C	Female
A35	C	Female
A36	C	Female
A37	C	Female
A38	C	Male
A39	C	Male
A40	C	Male
A41	D	Male
A42	D	Male
A43	D	Female
A44	D	Female
A45	D	Male
A46	D	Male
A47	D	Female
A48	D	Female
A49	D	Female
A50	D	Female
